,ENROLMENT RELATED INDICATORS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,GUJARAT                                           ,2417,PANCH MAHALS                                      ,64570,297079,0,548,236,0,365,0,4754,28040,13058,2058,1240,3354,972,0,62715,276863,0,434,63,0,365,0,2445,8985,1853,741,901,916,677,0,60449,59084,59621,56314,50060,46042,42726,0,61141,55804,56413,56203,54135,46053,42416,0,60186,56255,53665,53283,54416,50156,42719,6434,59950,55697,54671,51349,52928,51117,47310,14292,50133,58402,54869,54116,51371,50979,50320,46301,10971,6466,5179,3020,93649,44974,46045,22196,0,0,102.2,0,0,89.35,0,0,83.55,0,0,68.73,33301,155249,5252,1440,427,197798,24107,27886,26285,25493,24224,23955,23707,22261,809,803,716,626,574,455,356,252,202,331,332,313,318,260,234,174,219830,113534,62685,291253,8343,2372,962,2199,924,585,5005,3215,0,173,1034,195,475,1461,0,0,0,0,0,291,292,248,242,232,255,235,211,12945,7438,6382,3803,138374,79551,66056,37571,,,,,,,,,,,,,,,,
24,GUJARAT                                           ,2403,PATAN                                             ,11112,186156,0,220,207,0,36,0,3013,25458,2235,1386,153,538,59,0,9719,170122,0,54,207,0,0,0,454,6163,490,338,153,223,50,0,32506,30320,30985,29464,25653,23186,19373,0,33886,31839,31804,30605,28956,25001,21978,0,34460,30907,31071,29245,28753,25662,21507,5169,33030,31898,30647,29330,28330,26252,23670,9497,28167,32981,32205,30912,29553,27993,25836,22932,14350,8502,6651,3855,3298,1467,1736,680,0,0,107.62,0,0,86.08,0,0,85.36,0,0,64.24,6428,96508,894,465,116,104643,13594,15382,14894,14251,13348,12324,11109,9742,167,334,261,318,261,231,191,160,119,177,159,167,139,127,129,85,122005,57283,13878,207600,999,1578,125,538,95,247,1486,1236,0,207,0,0,0,8,0,28,28,0,0,1674,2008,1853,1780,1767,1505,1514,1264,13226,6892,6207,3147,115730,53646,54174,23046,,,,,,,,,,,,,,,,
24,GUJARAT                                           ,2411,PORBANDAR                                         ,1508,55427,1074,0,222,0,32,0,1026,19136,7931,40,352,2367,0,0,1221,41576,0,0,222,0,32,0,827,7768,4147,0,0,504,0,0,11917,11562,12106,12429,11439,10701,10258,0,11796,11907,11705,12243,12388,11463,10898,0,11829,11694,11912,11491,12089,12100,11066,2767,11192,11414,11479,11475,11366,11781,11694,5721,11173,10956,11359,11433,11749,11033,11472,11495,6039,3838,2849,1839,1816,688,808,336,0,0,106.88,0,0,96.41,0,0,88.58,0,0,71.75,1150,36151,4228,0,396,42813,5289,5155,5265,5404,5496,5280,5458,5466,39,52,65,44,64,51,53,47,31,41,40,30,41,49,29,32,46964,25303,2305,69314,4617,40,352,2659,32,107,2559,5467,0,0,184,0,0,0,0,0,222,0,0,7,3,13,12,16,8,6,5,2587,1504,1292,769,42458,25095,20167,12097,,,,,,,,,,,,,,,,
24,GUJARAT                                           ,2409,RAJKOT                                            ,4634,256320,1026,0,216,307,0,0,4748,219018,40757,666,316,16415,224,0,1837,196329,0,0,216,0,0,0,2557,49032,13274,495,187,7524,100,0,57160,53694,54393,56147,52861,52388,48292,0,58151,56066,54426,55320,57071,53256,52568,0,65650,62364,62212,59743,60937,62385,58201,12897,68230,63158,63423,62628,60461,60947,61582,26218,69599,71035,69216,69070,68831,65279,66002,65913,30813,18619,14500,8648,8560,3342,3089,1140,0,0,105.33,0,0,94.01,0,0,89.34,0,0,74,4303,215306,15866,162,326,242765,32081,32057,30798,30880,30967,28797,28740,28550,239,256,247,298,282,272,274,248,148,187,162,157,179,174,188,130,294962,155216,7558,426026,31861,481,303,14862,139,742,16856,9638,0,216,1859,27,34,12895,24,0,0,131,58,284,260,265,243,244,232,225,218,28191,15198,13296,7074,190120,102302,88515,45913,,,,,,,,,,,,,,,,
24,GUJARAT                                           ,2405,SABAR KANTHA                                      ,46792,272887,380,238,571,988,102,0,7329,27246,20442,2588,8072,9030,943,0,44568,258970,380,238,571,988,102,0,4126,12113,8356,1840,4039,4129,907,0,56549,52752,54123,55096,48826,45950,46160,0,58652,51489,51281,52145,52799,46272,43576,0,59144,52906,49961,49187,50310,49626,43891,6156,57808,53448,50728,48064,48626,47716,47524,14704,51741,55715,52684,50116,47787,47181,46849,46162,17290,11044,8030,5031,77221,36765,35362,17241,0,0,104.33,0,0,90.16,0,0,86.08,0,0,70.32,26023,141662,8302,1019,3488,184896,24483,25992,24594,23323,22076,21584,21742,21399,217,355,307,293,287,247,206,146,131,257,193,185,202,154,133,116,212907,109344,51294,287721,12951,2586,5923,5956,526,531,3586,2218,0,209,1557,0,0,0,0,0,0,0,0,76,48,85,51,59,49,53,44,13010,7418,6264,3464,140653,78947,65911,36206,,,,,,,,,,,,,,,,
24,GUJARAT                                           ,2422,SURAT                                             ,30192,261653,2586,125,0,0,0,112,6188,145352,268868,1248,2447,29447,337,0,27233,106504,710,125,0,0,0,0,2357,48246,31383,1105,564,10517,337,0,72636,68698,68365,67715,62586,59013,53693,0,77692,72125,73062,71697,70617,64460,61095,67,90055,85204,84815,81968,81549,79472,72934,12926,92365,88961,89677,87116,84883,82847,80948,28850,100517,97661,95571,96980,94272,91236,88239,84613,23389,12489,10823,5482,87692,42396,47630,23110,0,0,89.48,0,0,80.77,0,0,77.42,0,0,64.05,18173,192711,112574,609,962,337567,46665,44588,42963,43568,42510,40442,39263,37834,451,427,511,597,501,476,437,412,315,318,394,428,448,406,352,292,419617,209414,32113,296761,182119,1373,1295,15503,275,806,26868,52935,0,1152,9812,0,1224,23821,30220,0,0,2686,0,907,756,863,700,684,638,575,528,62333,31993,30062,15406,111607,62255,51098,27374,,,,,,,,,,,,,,,,
24,GUJARAT                                           ,2408,SURENDRANAGAR                                     ,12445,221120,509,3703,213,0,0,0,2248,35824,15386,944,400,4814,69,0,8305,192114,0,2287,213,0,0,0,990,9237,2745,49,237,35,29,0,42551,40010,41210,40412,37454,33659,31408,1,42722,40169,39041,38606,37821,33854,30696,0,42885,39777,39319,36744,36751,34239,30892,11348,42201,40430,39631,37306,36150,34724,32485,16338,35931,41862,40894,40049,37425,35629,34145,31775,18661,11278,8761,5281,5914,2539,1939,839,0,0,106.21,0,0,88.08,0,0,86.25,0,0,66.82,6764,119685,5417,1771,114,135575,16960,19514,19012,18372,16920,15997,15029,13774,218,345,415,382,383,306,254,229,140,239,269,222,201,195,182,148,159300,77031,13253,238778,11468,3813,220,3837,40,167,1292,2753,0,0,757,0,0,1238,0,202,0,0,0,2377,2618,2616,2547,2255,2075,1914,1627,10452,5596,4904,2576,150951,74974,70746,33124,,,,,,,,,,,,,,,,
24,GUJARAT                                           ,2426,TAPI                                              ,20127,77854,0,0,213,0,0,0,1065,6937,2026,760,483,1958,495,0,19421,73497,0,0,213,0,0,0,1065,3694,1471,638,400,1020,443,0,16732,16531,16436,16209,14880,14011,12787,0,16078,15367,16277,15911,15927,14428,13858,14,15436,14950,15003,15444,15042,14559,13453,3659,14768,14483,14533,14353,14697,14183,13773,5859,12789,14394,14537,14314,14230,14601,13897,13156,1072,837,528,452,59887,29151,35249,17564,0,0,104.38,0,0,88.58,0,0,86.64,0,0,66.26,10331,41682,894,353,385,54724,6216,6907,7142,6923,6953,7070,6865,6648,57,63,65,66,58,53,37,31,28,50,38,37,32,74,66,65,58325,31157,19562,77758,2026,760,483,596,418,348,2779,0,0,213,1362,0,0,396,0,0,0,0,0,217,103,100,73,102,95,68,95,2053,925,1016,428,4776,2678,2276,1282,,,,,,,,,,,,,,,,
24,GUJARAT                                           ,2423,THE DANGS                                         ,19667,34438,80,162,0,0,221,0,147,3355,0,0,0,0,0,0,19667,34438,80,162,0,0,221,0,147,3355,0,0,0,0,0,0,9755,8306,8280,7564,6222,4433,3786,0,10114,8291,8214,7234,6962,4671,3877,0,13657,8985,8366,7583,6941,5093,4338,874,10929,9473,9184,8383,8039,5814,5247,1545,8176,9707,8650,8094,7200,5968,5250,5025,183,73,81,40,40504,19674,15692,7842,0,0,135.43,0,0,84.74,0,0,104.65,0,0,61.87,9832,18328,41,84,0,28422,3971,4626,4232,3900,3568,2970,2636,2519,31,40,35,34,42,20,15,13,20,23,28,26,28,19,18,27,32322,11860,17790,34322,80,162,0,0,183,31,835,0,0,0,0,0,0,0,0,0,0,0,0,17,23,8,12,12,2,1,2,412,200,209,108,837,332,428,166,,,,,,,,,,,,,,,,
24,GUJARAT                                           ,2419,VADODARA                                          ,72631,266248,0,1204,221,374,593,0,3701,74542,123972,1121,591,29966,410,0,70403,218003,0,1204,221,374,566,0,2697,19289,17691,860,591,4270,350,0,66811,64594,67010,64212,57608,51967,46186,92,73901,68971,69973,70602,66756,55654,52089,167,75634,73033,71758,70544,70983,65386,57157,10066,74541,70889,71137,68450,68136,66380,62745,22866,71291,77290,75325,75104,72219,69392,69002,65951,20869,12801,9810,5719,123496,59120,56484,26200,0,0,98.97,0,0,85.25,0,0,82.89,0,0,66.17,36948,162179,52706,1008,326,265956,33794,36496,35290,35108,33329,31458,30946,29535,419,526,638,662,705,652,564,577,251,387,450,481,525,417,420,364,310927,158622,74456,308495,76246,2116,774,19077,785,639,20646,44405,209,0,9543,0,113,8207,3148,0,0,1720,0,1180,1119,1101,1065,1221,1090,1018,1029,28242,16057,13992,7512,80186,46212,37614,20703,,,,,,,,,,,,,,,,
24,GUJARAT                                           ,2425,VALSAD                                            ,29364,145468,0,51,0,323,402,0,2874,29587,36581,757,399,6605,238,0,26751,131137,0,51,0,0,220,0,943,14159,16779,515,202,1633,123,0,37438,35136,34231,33051,29932,28210,25095,0,36677,34837,33778,32614,32012,27811,26571,16,35869,34842,34629,32739,32533,30692,26849,8472,35844,33639,33577,33169,32497,30938,29416,12952,33326,33700,32294,32519,32446,30626,29841,28132,4785,2465,2361,1182,99744,48904,52829,25588,0,0,101.15,0,0,85.97,0,0,84.01,0,0,65.9,16173,84724,15167,335,199,120254,15973,16212,15578,15424,15434,14361,14094,13324,147,183,203,183,189,123,126,104,99,139,146,164,161,106,85,84,136439,67915,24296,130791,12248,808,399,1658,115,778,11920,22554,0,0,2867,123,0,1195,1742,0,0,1072,0,83,57,28,25,50,29,7,15,7573,3866,3503,1765,24905,15845,11679,7324,,,,,,,,,,,,,,,,
6,HARYANA                                           ,602,AMBALA                                            ,42961,0,5039,9273,12134,0,9114,0,5291,14174,52223,0,891,5297,466,0,37855,0,937,8851,9834,0,8478,0,2415,10834,22627,0,359,3869,115,0,15968,15562,15892,16011,15386,17073,16434,17121,15253,15833,16305,15959,15223,17104,16445,16742,18830,19040,19632,19758,19788,19305,19430,19565,19620,19414,19840,19922,20338,20168,19814,20044,19755,19709,19832,19915,20600,20562,20366,20218,31273,19467,14612,8843,0,0,0,0,0,0,105.66,0,0,104.02,0,0,82.11,0,0,76.75,24042,6586,23543,4661,5659,71044,8747,8740,8962,8905,9197,8827,8799,8876,58,65,97,101,81,92,72,51,41,48,53,68,61,62,43,43,77571,45113,46453,12130,22384,9273,12905,3474,9548,3187,4399,35192,0,120,1823,32,0,0,0,0,0,0,0,70,47,55,57,46,44,26,35,1724,909,822,430,26538,16480,12166,7324,,,,,,,,,,,,,,,,
6,HARYANA                                           ,613,BHIWANI                                           ,85519,0,907,10962,23680,0,16240,0,5193,21165,78085,43,931,29930,270,0,76370,0,614,10475,20132,0,15620,0,2804,13590,53071,0,0,23272,270,0,32024,31338,31371,29990,28949,27950,26547,25491,33623,33949,32865,32221,31557,30129,29237,27970,32423,33141,33841,32966,33101,30577,29909,29960,33232,33418,34110,34792,33935,32544,31729,31801,34156,34160,34451,34969,36349,33348,33654,33223,46316,25593,21567,12054,0,0,0,0,0,0,108.61,0,0,100.69,0,0,84.63,0,0,73.4,46091,8448,29768,6524,12281,124308,15318,15183,15551,15639,16568,15436,15477,15171,112,171,181,198,256,171,168,106,62,82,111,144,140,131,118,86,135648,73062,90116,18475,44877,11005,24346,23990,16510,1243,3002,34169,0,265,6142,0,0,0,0,0,0,0,0,119,151,125,117,65,11,9,4,1676,871,829,434,41876,23969,19330,11246,,,,,,,,,,,,,,,,
6,HARYANA                                           ,619,FARIDABAD                                         ,64474,0,2773,5517,15110,0,8939,0,10324,36326,83897,0,640,36928,0,0,29658,0,1768,3805,4344,0,4868,0,1328,9929,15297,0,215,5526,0,0,43332,43591,43227,39845,37998,26774,23973,22098,37255,39073,37641,35425,34881,27559,26562,24818,14079,14989,13890,12590,11236,9051,8468,7930,30909,31389,30916,28901,27692,24065,22029,21814,36430,36165,35714,34572,33875,30964,29683,28316,26540,13202,12993,6723,0,0,0,0,0,0,93.39,0,0,77.43,0,0,73.99,0,0,54.82,38431,15726,35085,2887,8892,121958,16534,16892,16563,15876,15476,14255,13523,12839,72,81,86,90,77,53,57,55,43,58,49,55,52,49,41,36,140037,62985,71314,27897,44765,5517,15688,23942,8939,3536,8831,41905,0,62,13323,0,0,0,0,0,0,0,0,77,88,84,78,58,7,5,3,17588,5320,8651,2339,42173,17869,20210,8288,,,,,,,,,,,,,,,,
6,HARYANA                                           ,610,FATEHABAD                                         ,58623,0,0,8919,13450,0,13705,0,1506,9196,18394,100,0,16807,0,0,53471,0,0,8358,10737,0,13586,0,1138,5599,11653,100,0,13499,0,0,15295,14834,14003,13663,11969,13890,12197,10070,15750,16655,16345,15160,13996,14665,13931,12146,16231,17450,18357,17641,16912,17212,16518,16521,14971,16112,17091,18149,17545,16297,16304,16134,16602,16908,17902,18762,19857,18784,17529,17548,37062,20716,17965,9872,0,0,0,0,0,0,99.56,0,0,94.17,0,0,78.38,0,0,67.97,30168,4281,7023,4865,5794,66302,7657,7992,8231,8726,9293,8590,7939,7874,75,73,130,136,151,128,89,66,54,68,89,109,92,93,64,75,70881,38874,59893,8356,9758,9000,13183,12578,13705,680,2084,8968,19,267,5401,0,0,0,0,0,0,0,0,123,85,63,67,44,25,29,19,518,347,261,150,21755,13683,10376,6323,,,,,,,,,,,,,,,,
6,HARYANA                                           ,618,GURGAON                                           ,66798,313,0,7388,15721,633,7940,0,8901,27987,51548,0,189,30416,82,0,39857,0,0,5928,9253,0,5906,0,2616,11437,17968,0,0,16657,31,0,21454,18927,17750,16203,14773,14015,13291,12961,20865,18352,17710,16434,14796,13047,12015,12358,25479,22495,21192,20150,19178,17587,16799,16449,28885,27117,25790,23776,22899,21816,19858,19762,32287,31787,29666,28680,26481,24384,23282,21349,21788,12793,10233,6196,0,0,0,0,0,0,102.34,0,0,81.93,0,0,76.18,0,0,59.88,37028,12343,21149,3798,7986,98921,14632,14442,13504,13076,12035,10994,10566,9672,28,40,48,64,69,53,39,37,12,23,36,29,56,17,12,12,110837,50444,70639,14555,22300,7388,15849,15769,7991,5060,13745,29248,0,61,15280,31,0,0,0,0,0,0,0,58,45,48,33,15,44,28,38,8867,2428,4243,1041,36635,20516,16783,9308,,,,,,,,,,,,,,,,
6,HARYANA                                           ,612,HISAR                                             ,87528,0,1036,8632,21594,0,21158,0,4189,16919,63398,285,923,22433,2134,0,75230,0,0,7918,18637,0,20196,0,3032,9578,35940,169,342,14675,694,0,43240,40182,39054,37498,35583,34002,32920,30343,26226,28116,27273,25219,23650,25200,23714,22919,33006,33730,35268,33726,32452,31809,31287,31614,32029,32090,34222,35127,34610,32051,31591,31860,33294,31752,32537,33821,35318,33839,32310,31818,55668,29243,26369,13810,0,0,0,0,0,0,102.24,0,0,92.89,0,0,80.21,0,0,67.59,47864,10385,25865,5919,10423,121834,15231,14599,14972,15604,16360,15613,14942,14513,120,132,164,160,163,138,119,99,62,76,88,108,114,88,62,84,130800,71281,92393,15252,25374,8957,22221,13058,22673,2791,10328,40170,50,296,10507,619,0,0,0,0,0,0,0,393,367,280,257,153,67,56,67,1580,798,778,370,42359,25109,19723,11698,,,,,,,,,,,,,,,,
6,HARYANA                                           ,615,JHAJJAR                                           ,33026,0,309,3064,13044,0,4349,0,4103,12633,51760,80,46,17867,76,0,29718,0,0,2823,12091,0,4349,0,2056,8713,31238,0,0,10604,0,0,18359,18508,18758,18376,16899,17829,18220,17546,20139,20779,20657,20561,20362,19944,19748,19411,16977,16323,16215,15887,16128,15505,15272,15577,17736,17474,17494,17119,17045,16420,15707,16157,18673,18252,18066,17721,17719,16937,16981,16479,21185,11282,9797,5460,0,0,0,0,0,0,102.16,0,0,92.06,0,0,78.75,0,0,69.2,18547,5273,19611,1877,6857,61702,8088,7964,7867,7661,7772,7442,7670,7238,36,60,42,63,72,55,55,47,31,26,32,55,46,37,48,48,69708,37884,35761,7077,21058,3144,12472,8278,4349,1368,6027,31011,0,618,9589,76,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,883,214,402,90,19413,10721,8793,4995,,,,,,,,,,,,,,,,
6,HARYANA                                           ,609,JIND                                              ,72559,0,0,8866,18894,0,17765,0,3102,10709,45721,0,65,30634,98,0,65893,0,0,8866,15615,0,16944,0,2223,7009,25954,0,65,14730,98,0,25482,24945,23773,22713,21070,22002,20450,20550,24944,24870,24712,23274,22499,22549,22335,21112,26175,26360,26998,26677,26020,25153,24762,24977,25056,25475,26538,27199,27388,25862,24794,24890,25108,24461,25645,26737,27739,27159,26095,25469,39245,21508,18339,10176,0,0,0,0,0,0,101.23,0,0,96.37,0,0,78.14,0,0,70.35,38377,4170,17775,5703,9021,95985,11448,11276,11722,12324,12789,12661,12083,11682,96,128,191,198,217,118,92,86,83,73,105,142,154,109,98,70,100108,57466,74342,9417,27523,8866,18556,21107,17863,1319,1292,18198,0,403,9527,0,306,836,0,0,0,0,0,206,139,127,88,66,29,15,25,2388,1174,1129,559,32372,18886,15288,8858,,,,,,,,,,,,,,,,
6,HARYANA                                           ,605,KAITHAL                                           ,57955,0,0,7927,19161,0,11399,0,4493,14929,33873,0,34,15243,0,0,51793,0,0,7532,15848,0,10672,0,2902,8957,17731,0,34,10449,0,0,21784,21499,20630,19703,19184,19276,18055,18016,20768,21238,21315,20274,19066,20247,19083,17881,20264,20519,21471,21367,20401,19428,19616,18715,19885,19719,20517,21008,21460,19849,19087,19212,21001,20528,20729,21234,22184,21925,20606,19761,32643,18260,15337,8466,0,0,0,0,0,0,104.28,0,0,97.06,0,0,81.88,0,0,71.68,31570,6193,12787,4670,8301,75975,9563,9244,9382,9666,10137,9894,9204,8885,133,142,200,271,265,229,192,170,98,102,153,164,187,218,166,198,82982,46002,61578,11733,19683,7927,18798,10247,11399,1794,4441,14659,0,397,5312,0,0,0,0,0,0,0,0,360,343,335,246,142,102,105,91,905,430,432,196,30878,18174,14404,8335,,,,,,,,,,,,,,,,
6,HARYANA                                           ,606,KARNAL                                            ,77032,0,589,11704,18875,0,13548,0,899,13298,59352,0,390,14611,0,0,67427,0,589,11290,14027,0,12822,0,497,7749,28527,0,272,8174,0,0,36440,33874,33269,31170,29395,26923,25699,25389,19235,20456,20033,19125,16914,17230,16377,15363,25074,25218,25635,24780,24508,22889,22290,23418,25616,25200,25753,25936,25657,24243,22322,22812,26153,26986,26787,27362,27941,27030,25963,24340,41119,22493,19709,10680,0,0,0,0,0,0,95.34,0,0,84.86,0,0,72.93,0,0,61.55,38833,6129,23963,6111,9395,96823,11945,12375,12143,12494,12749,12257,11821,11039,77,113,136,156,179,87,82,83,56,89,97,110,103,68,51,38,103443,56088,77738,12181,31588,11704,18738,8579,13548,344,2839,28553,0,527,6223,0,0,0,0,0,0,0,0,229,79,69,48,39,43,59,65,4391,1375,2037,614,41732,23539,19939,11066,,,,,,,,,,,,,,,,
6,HARYANA                                           ,604,KURUKSHETRA                                       ,47104,0,0,12429,8666,0,8693,0,3392,8098,32348,395,1961,12784,420,0,41113,0,0,11561,6600,0,8199,0,1299,4063,14587,395,44,8206,136,0,15099,13966,14644,14095,14097,15617,14400,14696,13905,13756,13921,13799,13287,14298,14538,14208,16894,17129,17263,17032,17206,16913,17079,17703,16879,16573,17455,17360,17386,17443,17099,17367,17690,17620,17745,18263,18434,18313,18074,17849,26421,14647,12571,6852,0,0,0,0,0,0,105.23,0,0,100.54,0,0,77.55,0,0,69.37,25355,5105,14014,6535,4134,65073,8285,8074,8163,8361,8355,8034,7927,7874,84,103,98,124,102,210,109,86,38,58,70,74,70,88,72,57,66145,37422,51011,9833,22327,12357,10026,10836,9065,1253,1893,10808,467,601,3174,48,306,836,0,0,0,0,0,22,43,17,15,12,21,21,26,1539,794,739,368,33178,20447,15459,9090,,,,,,,,,,,,,,,,
6,HARYANA                                           ,616,MAHENDRAGARH                                      ,41072,0,331,7883,11432,0,5492,0,1605,8391,57914,0,0,0,0,0,38380,0,331,7883,10079,0,5366,0,1389,6715,42272,0,0,0,0,0,17177,16223,16150,15766,15159,14200,14253,13728,16580,15736,15707,15484,14843,15257,15356,15048,17712,17477,17198,17273,17634,16347,16743,17171,17013,17276,17439,17018,17394,16573,16230,16988,17259,16613,16668,16872,17005,16214,16712,16777,18323,11163,8550,5296,0,0,0,0,0,0,100.78,0,0,90.01,0,0,76.69,0,0,67.36,21938,3354,21644,4488,6124,60583,7627,7427,7458,7691,7681,7316,7585,7798,94,93,131,144,156,135,142,130,82,85,91,108,109,91,96,112,64233,37195,42292,5396,36013,7883,11011,0,5492,385,2995,22232,0,421,0,0,0,360,0,0,0,0,0,83,16,72,50,4,0,32,53,593,252,263,132,45698,26461,20382,12082,,,,,,,,,,,,,,,,
6,HARYANA                                           ,620,MEWAT                                             ,164585,0,3861,33282,8002,0,9765,0,1265,10240,6473,0,142,12906,0,0,160754,0,573,32810,6475,0,9765,0,1095,6776,4320,0,0,10065,0,0,36543,35307,41453,25812,18848,12315,9767,7038,35829,29066,27846,28265,16633,11061,9204,6979,34668,38798,31797,28833,27327,15230,12060,10713,42459,37989,39416,32193,28902,23591,14888,12134,32567,46774,38976,39180,31812,24481,22999,14626,11868,6681,5625,3196,0,0,0,0,0,0,105.54,0,0,63.39,0,0,84.25,0,0,45.76,80898,2950,3203,15898,2433,111779,14974,22869,18529,17967,13558,10058,8981,4843,112,164,206,219,211,157,150,130,65,115,132,178,118,119,83,48,151124,44834,165732,9230,5242,33151,7571,11146,9765,118,1544,5092,131,573,1760,0,0,360,0,0,0,0,0,70,99,105,89,76,46,41,38,161477,43778,80050,15698,167224,51239,77810,18866,,,,,,,,,,,,,,,,
6,HARYANA                                           ,621,PALWAL                                            ,84958,0,500,15292,10089,0,10236,0,2622,22408,31627,0,0,22425,0,0,79047,0,500,14560,7660,0,9925,0,2232,15750,15178,0,0,15866,0,0,0,0,0,0,0,0,0,0,32943,33840,32407,31492,28007,23745,22033,19662,21832,24192,24315,22099,20385,16291,15387,14434,25053,24514,26383,25844,23724,19907,17395,16935,25451,28342,27006,28426,27768,22884,21402,18998,30686,16406,14628,7904,0,0,0,0,0,0,105.05,0,0,81.32,0,0,84.17,0,0,60.73,45017,8475,11579,8182,5158,92011,11758,13298,12463,13416,12783,10469,9507,8317,105,107,149,186,165,131,100,105,62,81,92,121,120,94,89,68,109762,47265,86670,17830,16604,15112,9796,18000,10236,1030,4578,15523,180,293,4425,0,306,836,0,0,0,0,0,192,203,197,172,102,105,100,99,35081,9281,15729,3238,65420,23967,30941,10366,,,,,,,,,,,,,,,,
6,HARYANA                                           ,601,PANCHKULA                                         ,29674,0,2505,6143,5814,0,3844,0,2305,7081,17457,0,0,13762,0,0,19887,0,322,5072,4001,0,3201,0,1375,4272,3748,0,0,3621,0,0,8249,8000,8080,7560,7239,7217,7084,6260,9026,8911,8852,8654,8301,8246,7578,7148,10881,10370,10175,9850,9582,9141,8805,8023,12133,11640,10878,10580,10481,9746,9515,9175,11973,12469,11935,11209,11104,10434,10087,10007,13036,6266,6099,2882,0,0,0,0,0,0,118.2,0,0,93.57,0,0,95.79,0,0,68.81,15430,2884,8110,2929,2723,39612,5497,5635,5361,4991,4922,4528,4346,4332,38,46,44,40,45,52,41,31,25,27,26,37,32,41,28,17,47561,22451,29739,3193,3358,6143,5149,1713,3844,2402,4272,16604,0,665,12049,0,87,0,0,0,0,0,0,39,23,10,14,7,54,56,73,2966,1172,1355,524,15033,7992,7047,3642,,,,,,,,,,,,,,,,
6,HARYANA                                           ,607,PANIPAT                                           ,55992,0,415,7482,14222,0,8600,0,3843,12048,49732,69,151,4873,65,0,45482,0,0,7482,11287,0,7642,0,1862,6405,26973,0,0,4238,65,0,21398,20791,19980,17517,16915,16667,15808,16117,23324,22526,20781,19852,18153,18064,17345,17156,21970,22332,21327,20464,20591,18969,18515,18196,23127,22061,22036,21338,21034,20521,18631,18564,22515,22134,21701,21803,21811,20424,20318,18753,25826,13553,12391,6557,0,0,0,0,0,0,87.12,0,0,78.14,0,0,65.5,0,0,57.72,30464,7713,20593,4000,7042,76994,10133,10194,9844,10125,9884,9331,9086,8397,97,118,138,154,140,140,150,128,67,84,114,79,90,123,117,100,82677,43948,59565,13782,30087,7551,13989,5293,8449,848,5604,23104,0,384,587,216,0,0,0,0,0,0,0,742,803,694,669,593,4,4,1,9888,2893,4558,1317,41662,21327,19686,9943,,,,,,,,,,,,,,,,
6,HARYANA                                           ,617,REWARI                                            ,34775,0,619,6031,11514,0,6134,0,4554,7537,42515,0,915,7184,0,0,31319,0,619,5784,9187,0,6134,0,2156,6322,34024,0,203,5770,0,0,14244,14541,14326,14000,13377,13307,13414,12861,13837,15023,14859,14268,13932,13872,14062,13705,17379,17217,17267,17019,17595,15942,16103,16043,17680,16825,17097,16910,17354,17031,16119,16530,16049,16453,15882,15957,16121,15096,15470,14865,20628,11858,9879,5561,0,0,0,0,0,0,96.63,0,0,86.91,0,0,73.62,0,0,63.82,21075,3281,16353,3161,6399,56267,7121,7291,7149,7292,7303,6608,6813,6690,79,87,95,124,132,136,145,125,41,67,75,93,87,106,118,122,61305,33362,40200,7222,27040,5951,12197,6877,6134,1612,1285,16094,80,232,969,0,0,0,0,0,0,0,0,68,52,50,42,37,22,12,15,401,164,182,69,36189,21365,16004,9349,,,,,,,,,,,,,,,,
6,HARYANA                                           ,614,ROHTAK                                            ,36926,0,683,2660,15545,0,5690,0,4347,11393,48357,0,946,23953,909,0,29477,0,0,1774,13292,0,5382,0,2042,5205,18713,0,50,11061,562,0,19622,18056,17504,16671,16225,15970,15160,15718,17925,16757,17415,16726,15679,15639,15349,15264,20690,19813,19018,19160,18840,17773,17973,18016,20246,19547,19795,18842,19416,18617,17804,18361,19333,19333,19330,19488,19065,19104,18779,18244,25040,14046,11940,6931,0,0,0,0,0,0,98.68,0,0,93.34,0,0,75.93,0,0,68.84,21578,4714,19570,1578,8635,69201,8714,8720,8727,8994,8517,8808,8446,8275,62,77,137,108,197,99,67,52,44,47,77,65,96,72,60,50,74294,41394,39590,5186,16350,2660,15867,11876,6317,2499,6550,32798,0,624,12077,282,0,0,0,0,0,0,0,97,122,77,50,22,8,11,10,563,227,272,97,16737,9470,7966,4533,,,,,,,,,,,,,,,,
